autoimmunity;SjS;RA;SLE;machine learning
Total_number_of_articles;5384
>27883186;First_Filter=PASSED;Last_filter=FAILED
>27855721;First_Filter=PASSED;Last_filter=FAILED
>27833448;First_Filter=PASSED;Last_filter=FAILED
>27812365;First_Filter=PASSED;Last_filter=FAILED
>27585946;First_Filter=PASSED;Last_filter=PASSED
>27191042;First_Filter=PASSED;Last_filter=FAILED
>27796844;First_Filter=PASSED;Last_filter=FAILED
>27333153;First_Filter=PASSED;Last_filter=FAILED
>27777975;First_Filter=PASSED;Last_filter=PASSED
>27774824;First_Filter=PASSED;Last_filter=FAILED
>27774822;First_Filter=PASSED;Last_filter=FAILED
>27729225;First_Filter=PASSED;Last_filter=PASSED
>27755123;First_Filter=PASSED;Last_filter=FAILED
>27385538;First_Filter=PASSED;Last_filter=FAILED
>27192425;First_Filter=PASSED;Last_filter=FAILED
>27717092;First_Filter=PASSED;Last_filter=FAILED
>27716458;First_Filter=PASSED;Last_filter=FAILED
>27716332;First_Filter=PASSED;Last_filter=FAILED
>27700100;First_Filter=PASSED;Last_filter=FAILED
>27690205;First_Filter=PASSED;Last_filter=FAILED
>27686101;First_Filter=PASSED;Last_filter=FAILED
>27672309;First_Filter=PASSED;Last_filter=FAILED
>27658265;First_Filter=PASSED;Last_filter=FAILED
>27645315;First_Filter=PASSED;Last_filter=FAILED
>27609750;First_Filter=PASSED;Last_filter=FAILED
>27522716;First_Filter=FAILED;Last_filter=FAILED
>27481132;First_Filter=PASSED;Last_filter=FAILED
>27476621;First_Filter=PASSED;Last_filter=FAILED
>27429984;First_Filter=PASSED;Last_filter=FAILED
>27426444;First_Filter=PASSED;Last_filter=FAILED
>27414792;First_Filter=FAILED;Last_filter=FAILED
>27409579;First_Filter=PASSED;Last_filter=FAILED
>27405485;First_Filter=PASSED;Last_filter=PASSED
>27379088;First_Filter=PASSED;Last_filter=PASSED
>27372914;First_Filter=PASSED;Last_filter=FAILED
>27356515;First_Filter=PASSED;Last_filter=FAILED
>27355582;First_Filter=PASSED;Last_filter=FAILED
>27311192;First_Filter=FAILED;Last_filter=FAILED
>27273876;First_Filter=PASSED;Last_filter=FAILED
>27259064;First_Filter=PASSED;Last_filter=FAILED
>27252273;First_Filter=PASSED;Last_filter=FAILED
>27252272;First_Filter=PASSED;Last_filter=FAILED
>27252266;First_Filter=PASSED;Last_filter=FAILED
>27251940;First_Filter=PASSED;Last_filter=FAILED
>27208887;First_Filter=PASSED;Last_filter=FAILED
>27195110;First_Filter=PASSED;Last_filter=FAILED
>27190099;First_Filter=PASSED;Last_filter=FAILED
>27142742;First_Filter=PASSED;Last_filter=FAILED
>27118209;First_Filter=PASSED;Last_filter=FAILED
>27107507;First_Filter=PASSED;Last_filter=FAILED
>27098309;First_Filter=PASSED;Last_filter=PASSED
>27089940;First_Filter=PASSED;Last_filter=PASSED
>27040161;First_Filter=PASSED;Last_filter=PASSED
>27036091;First_Filter=PASSED;Last_filter=FAILED
>27027813;First_Filter=PASSED;Last_filter=FAILED
>27009917;First_Filter=PASSED;Last_filter=FAILED
>27009267;First_Filter=PASSED;Last_filter=FAILED
>27007054;First_Filter=PASSED;Last_filter=FAILED
>26979271;First_Filter=PASSED;Last_filter=FAILED
>26970491;First_Filter=PASSED;Last_filter=FAILED
>26963726;First_Filter=PASSED;Last_filter=FAILED
>26961744;First_Filter=PASSED;Last_filter=FAILED
>26955845;First_Filter=PASSED;Last_filter=FAILED
>26946484;First_Filter=PASSED;Last_filter=FAILED
>26945334;First_Filter=PASSED;Last_filter=FAILED
>26943656;First_Filter=PASSED;Last_filter=FAILED
>26932795;First_Filter=PASSED;Last_filter=FAILED
>26927756;First_Filter=PASSED;Last_filter=FAILED
>26919467;First_Filter=PASSED;Last_filter=FAILED
>26886813;First_Filter=PASSED;Last_filter=FAILED
>26882474;First_Filter=PASSED;Last_filter=FAILED
>26854400;First_Filter=PASSED;Last_filter=FAILED
>26849368;First_Filter=PASSED;Last_filter=FAILED
>26844569;First_Filter=PASSED;Last_filter=FAILED
>26834751;First_Filter=PASSED;Last_filter=PASSED
>26830007;First_Filter=PASSED;Last_filter=FAILED
>26829377;First_Filter=PASSED;Last_filter=FAILED
>26829107;First_Filter=PASSED;Last_filter=FAILED
>26799652;First_Filter=PASSED;Last_filter=FAILED
>26786702;First_Filter=PASSED;Last_filter=FAILED
>26779542;First_Filter=PASSED;Last_filter=FAILED
>26771700;First_Filter=FAILED;Last_filter=FAILED
>26768760;First_Filter=PASSED;Last_filter=FAILED
>26763276;First_Filter=PASSED;Last_filter=FAILED
>26751840;First_Filter=PASSED;Last_filter=FAILED
>26744098;First_Filter=PASSED;Last_filter=FAILED
>26743640;First_Filter=PASSED;Last_filter=FAILED
>26715774;First_Filter=PASSED;Last_filter=FAILED
>26715653;First_Filter=PASSED;Last_filter=FAILED
>26713507;First_Filter=PASSED;Last_filter=FAILED
>26712781;First_Filter=PASSED;Last_filter=FAILED
>26711868;First_Filter=PASSED;Last_filter=FAILED
>26709220;First_Filter=PASSED;Last_filter=FAILED
>26697764;First_Filter=PASSED;Last_filter=FAILED
>26686848;First_Filter=PASSED;Last_filter=FAILED
>26684871;First_Filter=PASSED;Last_filter=FAILED
>26683152;First_Filter=PASSED;Last_filter=FAILED
>26659717;First_Filter=PASSED;Last_filter=FAILED
>26639222;First_Filter=PASSED;Last_filter=FAILED
>26635969;First_Filter=PASSED;Last_filter=FAILED
>26608346;First_Filter=PASSED;Last_filter=FAILED
>26584911;First_Filter=PASSED;Last_filter=FAILED
>26557381;First_Filter=PASSED;Last_filter=FAILED
>26554752;First_Filter=PASSED;Last_filter=FAILED
>26540618;First_Filter=PASSED;Last_filter=PASSED
>26538398;First_Filter=PASSED;Last_filter=FAILED
>26537917;First_Filter=PASSED;Last_filter=FAILED
>26535134;First_Filter=PASSED;Last_filter=FAILED
>26512984;First_Filter=PASSED;Last_filter=FAILED
>26509060;First_Filter=PASSED;Last_filter=FAILED
>26500935;First_Filter=PASSED;Last_filter=FAILED
>26467057;First_Filter=PASSED;Last_filter=PASSED
>26464189;First_Filter=PASSED;Last_filter=FAILED
>26463094;First_Filter=PASSED;Last_filter=PASSED
>26458178;First_Filter=PASSED;Last_filter=FAILED
>26457726;First_Filter=PASSED;Last_filter=FAILED
>26457422;First_Filter=PASSED;Last_filter=FAILED
>26437716;First_Filter=PASSED;Last_filter=FAILED
>26414243;First_Filter=PASSED;Last_filter=FAILED
>26386125;First_Filter=PASSED;Last_filter=FAILED
>26370400;First_Filter=PASSED;Last_filter=FAILED
>26342228;First_Filter=PASSED;Last_filter=FAILED
>26312847;First_Filter=PASSED;Last_filter=FAILED
>26303122;First_Filter=PASSED;Last_filter=FAILED
>26300590;First_Filter=PASSED;Last_filter=FAILED
>26298525;First_Filter=PASSED;Last_filter=FAILED
>26290149;First_Filter=PASSED;Last_filter=FAILED
>26275430;First_Filter=PASSED;Last_filter=FAILED
>26268815;First_Filter=PASSED;Last_filter=FAILED
>26264940;First_Filter=PASSED;Last_filter=FAILED
>26254734;First_Filter=PASSED;Last_filter=FAILED
>26251760;First_Filter=PASSED;Last_filter=FAILED
>26246128;First_Filter=PASSED;Last_filter=FAILED
>26227989;First_Filter=PASSED;Last_filter=FAILED
>26227656;First_Filter=PASSED;Last_filter=FAILED
>26215034;First_Filter=PASSED;Last_filter=FAILED
>26209657;First_Filter=PASSED;Last_filter=FAILED
>26190704;First_Filter=PASSED;Last_filter=FAILED
>26164649;First_Filter=PASSED;Last_filter=FAILED
>26094771;First_Filter=PASSED;Last_filter=FAILED
>26092218;First_Filter=PASSED;Last_filter=FAILED
>26062995;First_Filter=PASSED;Last_filter=FAILED
>26062018;First_Filter=PASSED;Last_filter=FAILED
>26057192;First_Filter=PASSED;Last_filter=FAILED
>26056943;First_Filter=PASSED;Last_filter=FAILED
>26041704;First_Filter=PASSED;Last_filter=FAILED
>26038344;First_Filter=PASSED;Last_filter=FAILED
>26034045;First_Filter=PASSED;Last_filter=FAILED
>26017630;First_Filter=PASSED;Last_filter=FAILED
>26005048;First_Filter=PASSED;Last_filter=FAILED
>25990747;First_Filter=PASSED;Last_filter=FAILED
>25989481;First_Filter=PASSED;Last_filter=FAILED
>25979866;First_Filter=PASSED;Last_filter=FAILED
>25964785;First_Filter=PASSED;Last_filter=FAILED
>25941817;First_Filter=PASSED;Last_filter=FAILED
>25923217;First_Filter=PASSED;Last_filter=FAILED
>25915570;First_Filter=PASSED;Last_filter=PASSED
>25907700;First_Filter=PASSED;Last_filter=FAILED
>25869297;First_Filter=PASSED;Last_filter=FAILED
>25849893;First_Filter=PASSED;Last_filter=FAILED
>25810309;First_Filter=PASSED;Last_filter=FAILED
>25802876;First_Filter=PASSED;Last_filter=FAILED
>25802129;First_Filter=FAILED;Last_filter=FAILED
>25801883;First_Filter=PASSED;Last_filter=PASSED
>25800215;First_Filter=PASSED;Last_filter=FAILED
>25794663;First_Filter=PASSED;Last_filter=FAILED
>25788417;First_Filter=PASSED;Last_filter=PASSED
>25776950;First_Filter=PASSED;Last_filter=FAILED
>25770018;First_Filter=PASSED;Last_filter=FAILED
>25760280;First_Filter=PASSED;Last_filter=FAILED
>25731770;First_Filter=PASSED;Last_filter=FAILED
>25729037;First_Filter=PASSED;Last_filter=FAILED
>25707686;First_Filter=PASSED;Last_filter=FAILED
>25669189;First_Filter=PASSED;Last_filter=FAILED
>25660987;First_Filter=PASSED;Last_filter=PASSED
>25651481;First_Filter=PASSED;Last_filter=FAILED
>25645464;First_Filter=PASSED;Last_filter=FAILED
>25642219;First_Filter=PASSED;Last_filter=FAILED
>25636595;First_Filter=PASSED;Last_filter=FAILED
>25636536;First_Filter=PASSED;Last_filter=FAILED
>25633325;First_Filter=PASSED;Last_filter=FAILED
>25630523;First_Filter=PASSED;Last_filter=FAILED
>25630235;First_Filter=PASSED;Last_filter=FAILED
>25627226;First_Filter=FAILED;Last_filter=FAILED
>25600626;First_Filter=PASSED;Last_filter=FAILED
>25593227;First_Filter=PASSED;Last_filter=FAILED
>25582993;First_Filter=FAILED;Last_filter=FAILED
>25561237;First_Filter=PASSED;Last_filter=FAILED
>25550090;First_Filter=PASSED;Last_filter=FAILED
>27186143;First_Filter=PASSED;Last_filter=PASSED
>27095999;First_Filter=PASSED;Last_filter=FAILED
>27071670;First_Filter=PASSED;Last_filter=FAILED
>25541434;First_Filter=PASSED;Last_filter=FAILED
>25539828;First_Filter=PASSED;Last_filter=FAILED
>25533722;First_Filter=PASSED;Last_filter=FAILED
>25527718;First_Filter=PASSED;Last_filter=FAILED
>25520183;First_Filter=PASSED;Last_filter=FAILED
>25498120;First_Filter=PASSED;Last_filter=FAILED
>25486901;First_Filter=PASSED;Last_filter=FAILED
>25483133;First_Filter=PASSED;Last_filter=FAILED
>25470136;First_Filter=PASSED;Last_filter=FAILED
>25455603;First_Filter=PASSED;Last_filter=FAILED
>25452562;First_Filter=PASSED;Last_filter=FAILED
>25450406;First_Filter=PASSED;Last_filter=FAILED
>25448791;First_Filter=PASSED;Last_filter=FAILED
>25437284;First_Filter=PASSED;Last_filter=PASSED
>25428402;First_Filter=PASSED;Last_filter=FAILED
>25427993;First_Filter=PASSED;Last_filter=FAILED
>25424578;First_Filter=PASSED;Last_filter=FAILED
>25407647;First_Filter=PASSED;Last_filter=FAILED
>25404518;First_Filter=PASSED;Last_filter=FAILED
>25402503;First_Filter=PASSED;Last_filter=FAILED
>25398787;First_Filter=PASSED;Last_filter=FAILED
>25398491;First_Filter=PASSED;Last_filter=FAILED
>25355199;First_Filter=PASSED;Last_filter=FAILED
>25352179;First_Filter=PASSED;Last_filter=FAILED
>25338013;First_Filter=PASSED;Last_filter=FAILED
>25329467;First_Filter=PASSED;Last_filter=FAILED
>25327393;First_Filter=PASSED;Last_filter=FAILED
>25324392;First_Filter=PASSED;Last_filter=FAILED
>25308129;First_Filter=PASSED;Last_filter=FAILED
>25302847;First_Filter=PASSED;Last_filter=FAILED
>25297131;First_Filter=PASSED;Last_filter=FAILED
>25245953;First_Filter=PASSED;Last_filter=FAILED
>25239882;First_Filter=PASSED;Last_filter=FAILED
>25228525;First_Filter=FAILED;Last_filter=FAILED
>25194756;First_Filter=PASSED;Last_filter=FAILED
>25180052;First_Filter=PASSED;Last_filter=FAILED
>25152867;First_Filter=PASSED;Last_filter=FAILED
>25138370;First_Filter=PASSED;Last_filter=FAILED
>25108207;First_Filter=PASSED;Last_filter=FAILED
>25103892;First_Filter=PASSED;Last_filter=FAILED
>25096602;First_Filter=PASSED;Last_filter=FAILED
>25092612;First_Filter=PASSED;Last_filter=FAILED
>25079933;First_Filter=PASSED;Last_filter=FAILED
>25065010;First_Filter=PASSED;Last_filter=FAILED
>25057856;First_Filter=PASSED;Last_filter=FAILED
>25046647;First_Filter=PASSED;Last_filter=PASSED
>25045300;First_Filter=PASSED;Last_filter=FAILED
>25027869;First_Filter=PASSED;Last_filter=FAILED
>25022966;First_Filter=PASSED;Last_filter=PASSED
>24990235;First_Filter=PASSED;Last_filter=FAILED
>24980778;First_Filter=PASSED;Last_filter=FAILED
>24965722;First_Filter=PASSED;Last_filter=FAILED
>24950951;First_Filter=PASSED;Last_filter=FAILED
>24936585;First_Filter=PASSED;Last_filter=PASSED
>24934596;First_Filter=PASSED;Last_filter=FAILED
>24934191;First_Filter=PASSED;Last_filter=FAILED
>24911078;First_Filter=PASSED;Last_filter=PASSED
>24880103;First_Filter=PASSED;Last_filter=FAILED
>24877127;First_Filter=PASSED;Last_filter=FAILED
>24870843;First_Filter=FAILED;Last_filter=FAILED
>24859782;First_Filter=PASSED;Last_filter=FAILED
>24840362;First_Filter=PASSED;Last_filter=FAILED
>24832679;First_Filter=PASSED;Last_filter=FAILED
>24831057;First_Filter=PASSED;Last_filter=FAILED
>24821852;First_Filter=PASSED;Last_filter=FAILED
>24817699;First_Filter=PASSED;Last_filter=FAILED
>24811793;First_Filter=PASSED;Last_filter=FAILED
>24807405;First_Filter=PASSED;Last_filter=FAILED
>24798341;First_Filter=PASSED;Last_filter=PASSED
>24782179;First_Filter=PASSED;Last_filter=FAILED
>24778809;First_Filter=PASSED;Last_filter=FAILED
>24763541;First_Filter=PASSED;Last_filter=PASSED
>24763532;First_Filter=PASSED;Last_filter=FAILED
>24737176;First_Filter=PASSED;Last_filter=FAILED
>24711809;First_Filter=PASSED;Last_filter=FAILED
>24701709;First_Filter=FAILED;Last_filter=FAILED
>24687234;First_Filter=PASSED;Last_filter=FAILED
>24666401;First_Filter=PASSED;Last_filter=FAILED
>24658440;First_Filter=PASSED;Last_filter=FAILED
>24646947;First_Filter=PASSED;Last_filter=FAILED
>24643396;First_Filter=PASSED;Last_filter=PASSED
>24642104;First_Filter=PASSED;Last_filter=FAILED
>24631425;First_Filter=PASSED;Last_filter=FAILED
>24618262;First_Filter=PASSED;Last_filter=FAILED
>24609760;First_Filter=PASSED;Last_filter=FAILED
>24607326;First_Filter=PASSED;Last_filter=FAILED
>24605340;First_Filter=PASSED;Last_filter=FAILED
>24605077;First_Filter=PASSED;Last_filter=FAILED
>24605075;First_Filter=PASSED;Last_filter=FAILED
>24589748;First_Filter=PASSED;Last_filter=FAILED
>24588081;First_Filter=PASSED;Last_filter=FAILED
>24582332;First_Filter=PASSED;Last_filter=FAILED
>24574827;First_Filter=PASSED;Last_filter=FAILED
>24574210;First_Filter=PASSED;Last_filter=FAILED
>24568777;First_Filter=PASSED;Last_filter=PASSED
>24557746;First_Filter=PASSED;Last_filter=FAILED
>24555814;First_Filter=PASSED;Last_filter=FAILED
>24550170;First_Filter=PASSED;Last_filter=FAILED
>24532676;First_Filter=PASSED;Last_filter=FAILED
>24521740;First_Filter=PASSED;Last_filter=FAILED
>24518000;First_Filter=PASSED;Last_filter=FAILED
>24515434;First_Filter=PASSED;Last_filter=FAILED
>24514912;First_Filter=PASSED;Last_filter=PASSED
>24513332;First_Filter=PASSED;Last_filter=FAILED
>24513269;First_Filter=PASSED;Last_filter=FAILED
>24504805;First_Filter=PASSED;Last_filter=PASSED
>24498648;First_Filter=PASSED;Last_filter=FAILED
>24479835;First_Filter=PASSED;Last_filter=FAILED
>24474949;First_Filter=PASSED;Last_filter=FAILED
>24469824;First_Filter=PASSED;Last_filter=FAILED
>24467605;First_Filter=PASSED;Last_filter=FAILED
>24465874;First_Filter=PASSED;Last_filter=FAILED
>24460872;First_Filter=PASSED;Last_filter=FAILED
>24458478;First_Filter=PASSED;Last_filter=PASSED
>24454473;First_Filter=PASSED;Last_filter=FAILED
>24445477;First_Filter=PASSED;Last_filter=FAILED
>24443940;First_Filter=PASSED;Last_filter=FAILED
>24437572;First_Filter=PASSED;Last_filter=FAILED
>24434325;First_Filter=PASSED;Last_filter=PASSED
>24434324;First_Filter=PASSED;Last_filter=PASSED
>24423193;First_Filter=PASSED;Last_filter=FAILED
>24418299;First_Filter=PASSED;Last_filter=FAILED
>24416634;First_Filter=PASSED;Last_filter=FAILED
>24401767;First_Filter=PASSED;Last_filter=FAILED
>26089988;First_Filter=PASSED;Last_filter=FAILED
>25744639;First_Filter=FAILED;Last_filter=FAILED
>24365380;First_Filter=PASSED;Last_filter=FAILED
>24362934;First_Filter=PASSED;Last_filter=FAILED
>24333759;First_Filter=PASSED;Last_filter=FAILED
>24316591;First_Filter=PASSED;Last_filter=FAILED
>24302182;First_Filter=PASSED;Last_filter=FAILED
>24291655;First_Filter=PASSED;Last_filter=FAILED
>24286519;First_Filter=PASSED;Last_filter=FAILED
>24273974;First_Filter=FAILED;Last_filter=FAILED
>24269820;First_Filter=PASSED;Last_filter=FAILED
>24252027;First_Filter=PASSED;Last_filter=FAILED
>24249811;First_Filter=PASSED;Last_filter=FAILED
>24247116;First_Filter=PASSED;Last_filter=FAILED
>24247114;First_Filter=PASSED;Last_filter=FAILED
>24245522;First_Filter=PASSED;Last_filter=FAILED
>24219225;First_Filter=PASSED;Last_filter=FAILED
>24217093;First_Filter=PASSED;Last_filter=FAILED
>24215742;First_Filter=PASSED;Last_filter=PASSED
>24213554;First_Filter=PASSED;Last_filter=FAILED
>24211843;First_Filter=PASSED;Last_filter=FAILED
>24202616;First_Filter=PASSED;Last_filter=FAILED
>24192039;First_Filter=PASSED;Last_filter=FAILED
>24189282;First_Filter=PASSED;Last_filter=FAILED
>24176675;First_Filter=PASSED;Last_filter=FAILED
>24169518;First_Filter=PASSED;Last_filter=FAILED
>24131486;First_Filter=PASSED;Last_filter=FAILED
>24131352;First_Filter=PASSED;Last_filter=FAILED
>24120647;First_Filter=PASSED;Last_filter=FAILED
>24091004;First_Filter=PASSED;Last_filter=FAILED
>24076269;First_Filter=PASSED;Last_filter=FAILED
>24062777;First_Filter=PASSED;Last_filter=FAILED
>24046282;First_Filter=PASSED;Last_filter=FAILED
>23933508;First_Filter=PASSED;Last_filter=FAILED
>23903050;First_Filter=PASSED;Last_filter=PASSED
>23879057;First_Filter=FAILED;Last_filter=FAILED
>23871638;First_Filter=PASSED;Last_filter=FAILED
>23818173;First_Filter=PASSED;Last_filter=FAILED
>23817999;First_Filter=PASSED;Last_filter=FAILED
>23812327;First_Filter=PASSED;Last_filter=FAILED
>23811296;First_Filter=PASSED;Last_filter=FAILED
>23808883;First_Filter=PASSED;Last_filter=FAILED
>23777924;First_Filter=PASSED;Last_filter=FAILED
>23773850;First_Filter=PASSED;Last_filter=FAILED
